id,proposedTool,title,transformation,proposedEngine,engineExists,gap,status,difficulty,searchDemand,competitionScore,evergreenScore,implementationCost,engineReuse,seoPotential,topicClusterPotential,localizationPotential,confidence,finalScore
running-pace-calculator,running-pace-calculator,Running Pace Calculator,Fitness Performance Calculation,wellness,true,needs-improvement,already-exists,low,0.9,0.54,0.95,1,1,0.96,0.5,0.88,0.8,85.9
one-rep-max-calculator,one-rep-max-calculator,One Rep Max Calculator,Fitness Performance Calculation,wellness,true,needs-improvement,already-exists,low,0.85,0.62,0.95,1,1,0.94,0.5,0.92,0.8,85.5
quadratic-equation-solver,quadratic-equation-solver,Quadratic Equation Explorer,Quadratic Equations,math-lab,true,guide-missing,already-exists,low,0.94,0.49,0.97,1,1,0.98,0,0.85,0.8,85.4
fraction-calculator,fraction-calculator,Fraction Calculator,Fractions,math,true,needs-improvement,already-exists,low,0.9,0.44,0.96,1,1,0.96,0,0.88,0.8,83.9
color-format-converter,color-format-converter,Color Format Converter,Color Conversion,color,true,needs-improvement,already-exists,low,0.92,0.4,0.94,1,1,0.97,0,0.96,0.8,83.8
unit-circle-calculator,unit-circle-calculator,Unit Circle Explorer,Unit Circle,math-lab,true,guide-missing,already-exists,low,0.88,0.64,0.96,1,1,0.95,0,0.8,0.8,83.8
remove-line-breaks,remove-line-breaks,Remove Line Breaks,Line Break Removal,text-processor,true,needs-improvement,already-exists,low,0.84,0.7,0.9,1,1,0.94,0,0.75,0.8,83.6
combinations-permutations-calculator,combinations-permutations-calculator,Combinations & Permutations Calculator,Combinatorics,math,true,needs-improvement,already-exists,low,0.78,0.64,0.94,1,1,0.91,0,0.82,0.8,83.5
px-to-rem-converter,px-to-rem-converter,PX to REM Converter,CSS Unit Conversion,units,true,needs-improvement,already-exists,low,0.84,0.52,0.92,1,1,0.94,0,0.96,0.8,83.5
reverse-text,reverse-text,Reverse Text,Text Reversal,text-processor,true,needs-improvement,already-exists,low,0.78,0.73,0.88,1,1,0.91,0,0.8,0.8,83
prime-factorization-calculator,prime-factorization-calculator,Prime Factorization Calculator,Number Theory,math,true,needs-improvement,already-exists,low,0.75,0.62,0.95,1,1,0.9,0,0.85,0.8,82.8
color-contrast-checker,color-contrast-checker,WCAG Color Contrast Checker,Contrast Ratio,color,true,needs-improvement,already-exists,low,0.88,0.56,0.95,1,1,0.95,0,0.95,0.8,82.5
px-to-dp-converter,px-to-dp-converter,PX to DP Converter,Density Unit Conversion,units,true,needs-improvement,already-exists,low,0.72,0.64,0.9,1,1,0.89,0,0.96,0.8,82.2
slugify-text,slugify-text,Slugify Text,Slugification,text-processor,true,needs-improvement,already-exists,low,0.8,0.66,0.86,1,1,0.92,0,0.7,0.8,82
aspect-ratio-calculator,aspect-ratio-calculator,Aspect Ratio Calculator,Aspect Ratio,units,true,needs-improvement,already-exists,low,0.74,0.58,0.9,1,1,0.9,0,0.95,0.8,81.8
statistics-visualizer,statistics-visualizer,Statistics Visualizer,Descriptive Statistics,math,true,cluster-missing,recommended,medium,0.92,0.52,0.96,0.7,1,0.97,0,0.84,0.8,81.7
binary-text-converter,binary-text-converter,Binary Text Converter,Binary Encoding,encoding,true,needs-improvement,already-exists,low,0.74,0.68,0.86,1,1,0.9,0,0.9,0.8,81.6
ohms-law-calculator,ohms-law-calculator,Ohm's Law Simulator,Ohm's Law,physics,true,guide-missing,already-exists,medium,0.95,0.52,0.96,0.7,1,0.98,0,0.85,0.8,81.4
json-escape,json-escape,JSON Escape / Unescape,JSON String Escaping,structured-data,true,needs-improvement,already-exists,low,0.76,0.63,0.88,1,1,0.9,0,0.92,0.8,81.3
csv-diff,csv-diff,CSV Diff,CSV Diff,csv,true,needs-improvement,already-exists,medium,0.82,0.78,0.84,0.7,1,0.93,0,0.88,0.8,80.9
rot13-encoder-decoder,rot13-encoder-decoder,ROT13 Encoder / Decoder,ROT13,encoding,true,needs-improvement,already-exists,low,0.64,0.74,0.84,1,1,0.86,0,0.9,0.8,80
remove-accents,remove-accents,Remove Accents,Diacritic Removal,text-processor,true,needs-improvement,already-exists,low,0.7,0.72,0.85,1,1,0.88,0,0.6,0.8,79.8
triangle-solver,triangle-solver,Triangle Solver,Triangles,math,true,cluster-missing,recommended,medium,0.8,0.59,0.95,0.7,1,0.92,0,0.8,0.8,79.8
calorie-deficit-calculator,calorie-deficit-calculator,Calorie Deficit Calculator,Energy And Nutrition Planning,wellness,true,needs-improvement,already-exists,low,0.82,0.59,0.92,1,1,0.93,0.5,0.9,0.8,79.7
electron-configuration-calculator,electron-configuration-calculator,Electron Configuration Calculator,Electron Configuration,chemistry-lab,true,guide-missing,already-exists,medium,0.84,0.6,0.96,0.7,1,0.94,0,0.72,0.8,79.6
sleep-cycle-calculator,sleep-cycle-calculator,Sleep Cycle Calculator,Health Date Calculation,datetime,true,cluster-missing,recommended,low,0.78,0.63,0.92,1,1,0.91,0.5,0.9,0.8,79.5
color-shades-generator,color-shades-generator,Color Shades & Tints Generator,Color Scale,color,true,cluster-missing,recommended,low,0.64,0.6,0.86,1,1,0.86,0,0.92,0.8,79.4
type-scale-generator,type-scale-generator,Modular Type Scale Generator,Type Scale,units,true,cluster-missing,recommended,low,0.58,0.68,0.88,1,1,0.83,0,0.88,0.64,79.2
unix-timestamp-converter,unix-timestamp-converter,Unix Timestamp Converter,Timestamp Conversion,datetime,true,needs-improvement,already-exists,medium,0.9,0.53,0.92,0.7,1,0.84,0,0.88,0.8,79.2
bmr-calculator,bmr-calculator,BMR Calculator,Energy And Nutrition Planning,wellness,true,needs-improvement,already-exists,low,0.8,0.46,0.95,1,1,0.92,0.5,0.9,0.8,79.1
sip-calculator,sip-calculator,SIP Calculator,Systematic Investment Plan,finance,true,needs-improvement,already-exists,low,0.92,0.6,0.9,1,1,0.73,0,0.95,0.8,79.1
projectile-motion-calculator,projectile-motion-calculator,Projectile Motion Simulator,Projectile Motion,physics,true,guide-missing,already-exists,medium,0.9,0.69,0.96,0.7,1,0.96,0,0.82,0.8,78.8
